"SITE_TRANS","YEAR","siteID","yrID"
"SCDI_2",2006,31,7
"SCDI_3",2006,32,7
"SCTW_2",2006,33,7
"SCTW_3",2006,34,7
"ABUR_1",2007,1,8
"ABUR_2",2007,2,8
"AQUE_1",2007,3,8
"AQUE_2",2007,4,8
"AQUE_3",2007,5,8
"AQUE_4",2007,6,8
"AQUE_5",2007,7,8
"AQUE_6",2007,8,8
"BULL_1",2007,9,8
"BULL_3",2007,10,8
"BULL_6",2007,11,8
"GOLB_1",2007,12,8
"GOLB_2",2007,13,8
"IVEE_1",2007,14,8
"IVEE_2",2007,15,8
"MOHK_1",2007,21,8
"MOHK_2",2007,22,8
"NAPL_1",2007,23,8
"NAPL_2",2007,24,8
"NAPL_3",2007,25,8
"NAPL_4",2007,26,8
"NAPL_5",2007,27,8
"NAPL_6",2007,28,8
"NAPL_7",2007,29,8
"NAPL_8",2007,30,8
"SCDI_2",2007,31,8
"SCDI_3",2007,32,8
"SCTW_2",2007,33,8
"SCTW_3",2007,34,8
"ABUR_1",2008,1,9
"ABUR_2",2008,2,9
"AQUE_1",2008,3,9
"AQUE_2",2008,4,9
"AQUE_3",2008,5,9
"AQUE_4",2008,6,9
"AQUE_5",2008,7,9
"AQUE_6",2008,8,9
"BULL_1",2008,9,9
"BULL_3",2008,10,9
"BULL_6",2008,11,9
"GOLB_1",2008,12,9
"GOLB_2",2008,13,9
"IVEE_1",2008,14,9
"IVEE_2",2008,15,9
"MOHK_1",2008,21,9
"MOHK_2",2008,22,9
"NAPL_5",2008,27,9
"NAPL_6",2008,28,9
"NAPL_7",2008,29,9
"NAPL_8",2008,30,9
"SCDI_2",2008,31,9
"SCDI_3",2008,32,9
"SCTW_2",2008,33,9
"SCTW_3",2008,34,9
"ABUR_1",2009,1,10
"ABUR_2",2009,2,10
"AQUE_1",2009,3,10
"AQUE_2",2009,4,10
"AQUE_3",2009,5,10
"AQUE_4",2009,6,10
"AQUE_5",2009,7,10
"AQUE_6",2009,8,10
"BULL_1",2009,9,10
"BULL_3",2009,10,10
"BULL_6",2009,11,10
"GOLB_1",2009,12,10
"GOLB_2",2009,13,10
"IVEE_1",2009,14,10
"IVEE_2",2009,15,10
"MOHK_1",2009,21,10
"MOHK_2",2009,22,10
"NAPL_1",2009,23,10
"NAPL_2",2009,24,10
"NAPL_3",2009,25,10
"NAPL_4",2009,26,10
"NAPL_5",2009,27,10
"NAPL_6",2009,28,10
"NAPL_7",2009,29,10
"NAPL_8",2009,30,10
"SCDI_2",2009,31,10
"SCDI_3",2009,32,10
"SCTW_2",2009,33,10
"SCTW_3",2009,34,10
"ABUR_1",2010,1,11
"ABUR_2",2010,2,11
"AQUE_1",2010,3,11
"AQUE_2",2010,4,11
"AQUE_3",2010,5,11
"AQUE_4",2010,6,11
"AQUE_5",2010,7,11
"AQUE_6",2010,8,11
"BULL_1",2010,9,11
"BULL_3",2010,10,11
"BULL_6",2010,11,11
"GOLB_1",2010,12,11
"GOLB_2",2010,13,11
"IVEE_1",2010,14,11
"IVEE_2",2010,15,11
"MOHK_1",2010,21,11
"MOHK_2",2010,22,11
"NAPL_1",2010,23,11
"NAPL_2",2010,24,11
"NAPL_3",2010,25,11
"NAPL_4",2010,26,11
"NAPL_5",2010,27,11
"NAPL_6",2010,28,11
"NAPL_7",2010,29,11
"NAPL_8",2010,30,11
"SCDI_2",2010,31,11
"SCDI_3",2010,32,11
"SCTW_2",2010,33,11
"SCTW_3",2010,34,11
"ABUR_1",2011,1,12
"ABUR_2",2011,2,12
"AQUE_1",2011,3,12
"AQUE_2",2011,4,12
"AQUE_3",2011,5,12
"AQUE_4",2011,6,12
"AQUE_5",2011,7,12
"AQUE_6",2011,8,12
"BULL_1",2011,9,12
"BULL_3",2011,10,12
"BULL_6",2011,11,12
"GOLB_1",2011,12,12
"GOLB_2",2011,13,12
"IVEE_1",2011,14,12
"IVEE_2",2011,15,12
"MOHK_1",2011,21,12
"MOHK_2",2011,22,12
"NAPL_1",2011,23,12
"NAPL_2",2011,24,12
"NAPL_3",2011,25,12
