"","SITE","YEAR","SEASON","sd_TEMP","TEMP_C"
"35","ABUR","2019","COLD",1.3731478464135,13.9371237119304
"36","ABUR","2019","WARM",1.36127335202703,16.3842609646598
"37","ABUR","2020","COLD",0.889766695391249,14.4757891448559
"38","ABUR","2020","WARM",1.28095526383584,15.2325955235551
"39","ABUR","2021","COLD",1.03478866848591,14.1763361617035
"40","ABUR","2021","WARM",0.936972663278937,15.467418842458
"41","ABUR","2022","COLD",1.12078833884411,13.4619559014811
"42","ABUR","2022","WARM",1.2319863447174,16.4296538104089
"43","AQUE","2003","COLD",1.54028845813047,12.2438947709594
"44","AQUE","2003","WARM",1.45359426687432,15.5012533287812
"45","AQUE","2004","COLD",1.09195753063162,13.5644194191344
"46","AQUE","2004","WARM",1.6875464757924,16.4036309215449
"47","AQUE","2005","COLD",1.47836324974619,13.7902536646816
"48","AQUE","2005","WARM",1.65618450914118,15.419953951534
"49","AQUE","2006","COLD",1.36846283530139,13.1480524181871
"50","AQUE","2006","WARM",1.62527074173317,16.3301407356243
"51","AQUE","2007","COLD",1.03970691264658,12.9821189139119
"52","AQUE","2007","WARM",1.79806548965814,15.4516350083463
"53","AQUE","2008","COLD",1.30514488452312,12.6248201187565
"54","AQUE","2008","WARM",1.84549613423519,16.2303232026708
"55","AQUE","2009","COLD",1.15073229918573,13.2785584631241
"56","AQUE","2009","WARM",1.62089907244283,16.1534602256375
"57","AQUE","2010","COLD",1.44071264120641,13.115035586772
"58","AQUE","2010","WARM",1.46837713176307,14.7717191745337
"59","AQUE","2011","COLD",1.27478636982621,12.4610606070088
"60","AQUE","2011","WARM",1.75978037582303,15.2059900009661
"61","AQUE","2012","COLD",1.47647796167669,13.1306315360903
"62","AQUE","2012","WARM",1.55874739762429,16.3357345863796
"63","AQUE","2013","COLD",1.40267893310409,13.376456213463
"64","AQUE","2013","WARM",1.28257403787733,16.377537618006
"65","AQUE","2014","COLD",1.86597779083462,14.602588122938
"66","AQUE","2014","WARM",1.54765953959302,18.0597827043297
"67","AQUE","2015","COLD",1.57821721588036,15.2675569798069
"68","AQUE","2015","WARM",2.29043517456644,18.4504208624571
"69","AQUE","2016","COLD",1.17543720783823,14.4083168234223
"70","AQUE","2016","WARM",1.59532042741289,16.6562752187932
"71","AQUE","2017","COLD",0.612911342264803,13.8233455708298
"72","AQUE","2017","WARM",1.57623520499052,17.2719028695293
"73","AQUE","2018","COLD",1.58338692258638,13.6743485860335
"74","AQUE","2018","WARM",1.66142483921767,18.1883353902312
"75","AQUE","2019","COLD",1.31750437824328,14.0602069444444
"76","AQUE","2019","WARM",1.46745782220286,16.9146532349365
"77","AQUE","2020","COLD",1.11355925487829,14.458204093058
"78","AQUE","2020","WARM",2.00921597155495,16.227349884636
"79","AQUE","2021","COLD",1.28028917709385,13.4482152902944
"80","AQUE","2021","WARM",1.27928208857828,15.882070531401
"81","AQUE","2022","COLD",1.20505063169725,13.2887595804196
"82","AQUE","2022","WARM",1.37368920151641,16.5506712935962
"83","BULL","2003","COLD",1.52097683448126,12.190013085891
"84","BULL","2003","WARM",1.87218618321248,15.1325857104974
"85","BULL","2004","COLD",1.13846514149654,13.4846055707051
"86","BULL","2004","WARM",1.76010649019274,16.3244572842059
"87","BULL","2005","COLD",1.53642195624211,13.5410896701787
"88","BULL","2005","WARM",1.82520131196646,14.9283492923818
"89","BULL","2006","COLD",1.44093453091622,12.8980619750941
"90","BULL","2006","WARM",1.68339734720291,15.735450987164
"91","BULL","2007","COLD",1.1181428733814,12.7189993052741
"92","BULL","2007","WARM",1.77238628839309,14.7377234789616
"93","BULL","2008","COLD",1.27592872635011,12.0299773314023
"94","BULL","2008","WARM",2.1458734803999,15.194031075419
"95","BULL","2009","COLD",1.70511749366054,12.138715819568
"96","BULL","2009","WARM",1.99533357017132,15.486360992867
"97","BULL","2010","COLD",1.50201835977087,12.891439749113
"98","BULL","2010","WARM",1.54878676154394,14.2827329064243
"99","BULL","2011","COLD",1.33809553069881,12.347460466683
"100","BULL","2011","WARM",1.57977173444488,14.9627876755699
"101","BULL","2012","COLD",1.52108921520801,12.7920406424501
"102","BULL","2012","WARM",1.62560679576812,15.9945790594601
"103","BULL","2013","COLD",1.34300580121782,13.1239514795074
